loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.65,0.818990170955658,0.000196,0.02,50,,,,,,,,,
,,,0.02,50,0.7147527933120728,130.7516,15.296,7.648,,,,,
0.7274,0.4199298024177551,0.00017822222222222222,0.04,100,,,,,,,,,
,,,0.04,100,0.6804296970367432,131.0329,15.263,7.632,,,,,
0.6854,0.4007411003112793,0.00015600000000000002,0.06,150,,,,,,,,,
,,,0.06,150,0.6735634803771973,130.9101,15.278,7.639,,,,,
0.6724,0.4709448516368866,0.00013377777777777777,0.08,200,,,,,,,,,
,,,0.08,200,0.6673211455345154,130.9382,15.274,7.637,,,,,
0.6866,0.35553497076034546,0.00011155555555555556,0.1,250,,,,,,,,,
,,,0.1,250,0.6618772149085999,130.7185,15.3,7.65,,,,,
0.6733,0.3808581531047821,8.933333333333334e-05,0.12,300,,,,,,,,,
,,,0.12,300,0.656294584274292,130.8791,15.281,7.641,,,,,
0.6774,0.41119474172592163,6.711111111111112e-05,0.14,350,,,,,,,,,
,,,0.14,350,0.6526602506637573,130.793,15.291,7.646,,,,,
0.6605,0.3482639491558075,4.4888888888888894e-05,0.16,400,,,,,,,,,
,,,0.16,400,0.6490742564201355,130.6073,15.313,7.657,,,,,
0.6675,0.36355355381965637,2.2666666666666668e-05,0.18,450,,,,,,,,,
,,,0.18,450,0.646861732006073,130.8906,15.28,7.64,,,,,
0.659,0.3512299954891205,4.444444444444445e-07,0.2,500,,,,,,,,,
,,,0.2,500,0.6454676985740662,130.8576,15.284,7.642,,,,,
,,,0.2,500,,,,,2133.3032,1.875,0.234,6.602470799002829e+16,0.6759539031982422
